列名,方案,level,raw_bytes,comp_bytes,ratio,enc_GBps,dec_GBps
pk_seq,RAW,,80000000,80000000,1.0000,4.7829,4.2311
pk_seq,RLEDICT,,80000000,120000000,0.6667,0.8464,2.7200
pk_seq,ZSTD_ON_RAW,1,80000000,10151773,7.8804,0.7474,1.1699
pk_seq,ZSTD_ON_RLEDICT,1,80000000,36687950,2.1806,0.5066,0.6298
pk_seq,ZSTD_ON_RAW,3,80000000,10188439,7.8520,0.7080,1.1791
pk_seq,ZSTD_ON_RLEDICT,3,80000000,37308051,2.1443,0.5657,0.6397
pk_seq,ZSTD_ON_RAW,9,80000000,10152730,7.8797,0.1000,1.1911
pk_seq,ZSTD_ON_RLEDICT,9,80000000,37104263,2.1561,0.0908,0.6334
pk_seq,ZSTD_ON_RAW,19,80000000,7378413,10.8424,0.0033,1.0239
pk_seq,ZSTD_ON_RLEDICT,19,80000000,15532576,5.1505,0.0023,0.4167
rand_i32,RAW,,40000000,40000000,1.0000,4.7034,4.9292
rand_i32,RLEDICT,,40000000,79953128,0.5003,0.0889,0.4897
rand_i32,ZSTD_ON_RAW,1,40000000,40000928,1.0000,3.5386,5.3892
rand_i32,ZSTD_ON_RLEDICT,1,40000000,67962395,0.5886,0.6187,0.2900
rand_i32,ZSTD_ON_RAW,3,40000000,40000928,1.0000,3.2053,4.9771
rand_i32,ZSTD_ON_RLEDICT,3,40000000,65708788,0.6087,0.4303,0.2551
rand_i32,ZSTD_ON_RAW,9,40000000,40000928,1.0000,1.9484,5.6308
rand_i32,ZSTD_ON_RLEDICT,9,40000000,65656839,0.6092,0.2020,0.2673
rand_i32,ZSTD_ON_RAW,19,40000000,40000928,1.0000,0.0059,4.7995
rand_i32,ZSTD_ON_RLEDICT,19,40000000,61763859,0.6476,0.0019,0.1874
dup_i32,RAW,,40000000,40000000,1.0000,4.8110,5.0563
dup_i32,RLEDICT,,40000000,40399032,0.9901,0.0554,1.9702
dup_i32,ZSTD_ON_RAW,1,40000000,21800999,1.8348,0.4576,1.3012
dup_i32,ZSTD_ON_RLEDICT,1,40000000,16126523,2.4804,0.4134,0.6828
dup_i32,ZSTD_ON_RAW,3,40000000,12554576,3.1861,0.3223,1.2934
dup_i32,ZSTD_ON_RLEDICT,3,40000000,12570940,3.1819,0.3665,0.6737
dup_i32,ZSTD_ON_RAW,9,40000000,11538123,3.4668,0.0926,1.4465
dup_i32,ZSTD_ON_RLEDICT,9,40000000,12567169,3.1829,0.0915,0.6925
dup_i32,ZSTD_ON_RAW,19,40000000,10478001,3.8175,0.0024,1.1262
dup_i32,ZSTD_ON_RLEDICT,19,40000000,11063282,3.6156,0.0021,0.6520
f64_price,RAW,,80000000,80000000,1.0000,4.3717,4.4080
f64_price,RLEDICT,,80000000,91397616,0.8753,0.1445,0.7805
f64_price,ZSTD_ON_RAW,1,80000000,63915989,1.2516,0.6234,1.3349
f64_price,ZSTD_ON_RLEDICT,1,80000000,45492038,1.7585,0.6321,0.4339
f64_price,ZSTD_ON_RAW,3,80000000,43026949,1.8593,0.3212,1.3592
f64_price,ZSTD_ON_RLEDICT,3,80000000,46277541,1.7287,0.5248,0.4306
f64_price,ZSTD_ON_RAW,9,80000000,41369060,1.9338,0.0606,1.1464
f64_price,ZSTD_ON_RLEDICT,9,80000000,45604557,1.7542,0.0870,0.4212
f64_price,ZSTD_ON_RAW,19,80000000,40658334,1.9676,0.0023,0.9772
f64_price,ZSTD_ON_RLEDICT,19,80000000,44919213,1.7810,0.0014,0.3626
low_card_str,RAW,,105995969,105995969,1.0000,3.3025,4.4009
low_card_str,RLEDICT,,105995969,40000057,2.6499,0.0833,0.2076
low_card_str,ZSTD_ON_RAW,1,105995969,37766161,2.8066,0.6149,1.1605
low_card_str,ZSTD_ON_RLEDICT,1,105995969,6056151,17.5022,1.2148,0.1972
